system:index,crop_id,crop_type,crop_yn,district,intercrop,label,maize,maizeProb,maizeYield,maizeYieldAdj_optimalClass,maizeYield_majorityClass,maize_mono,majorityClass,optimalClass,pct_primary_crop,random_order,season,set,sos_actual,type_int,yield_acre,yield_kg_ha,yield_kg_ha_sqrt,.geo
2019_Season_A_2019_Season_A_00000000000000001727,rti_345,nonmaize_annual,crop,53.0,-999,legumes,0,0.6416715979576111,3958.564453125,2504.478515625,3958.564453125,0.0,1.0,1.0,-999,5927,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001783,rti_451,nonmaize_annual,crop,28.0,-999,legumes,0,0.080169178545475,2507.40771484375,-999,-999,0.0,2.0,2.0,-999,6019,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001b7c,rti_1171,nonmaize_annual,crop,31.0,-999,legumes,0,0.1938706636428833,2866.56103515625,-999,-999,0.0,2.0,2.0,-999,7036,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001c48,rti_1743,nonmaize_annual,crop,53.0,-999,legumes,0,0.4202633202075958,3444.35400390625,-999,-999,0.0,2.0,2.0,-999,7240,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001ccd,rti_429,nonmaize_annual,crop,23.0,-999,legumes,0,0.17125403881072998,3336.20751953125,-999,-999,0.0,2.0,2.0,-999,7373,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001ced,rti_441,nonmaize_annual,crop,23.0,-999,legumes,0,0.0828874483704567,2889.392578125,-999,-999,0.0,2.0,2.0,-999,7405,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001d37,rti_1087,nonmaize_annual,crop,28.0,-999,legumes,0,0.14643031358718872,3103.322265625,-999,-999,0.0,2.0,2.0,-999,7479,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001d51,rti_571,nonmaize_annual,crop,28.0,-999,legumes,0,0.2214212715625763,3293.48583984375,-999,-999,0.0,2.0,2.0,-999,7505,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001d5d,rti_2543,nonmaize_annual,crop,43.0,-999,legumes,0,0.43812206387519836,5668.85986328125,1547.928466796875,5668.85986328125,0.0,1.0,1.0,-999,7517,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001e70,rti_1911,nonmaize_annual,crop,53.0,-999,legumes,0,0.7175158858299255,4454.00927734375,2817.933349609375,4454.00927734375,0.0,1.0,1.0,-999,7792,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000002087,rti_545,nonmaize_annual,crop,43.0,-999,legumes,0,0.28056222200393677,6152.4365234375,-999,-999,0.0,2.0,2.0,-999,8327,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000002180,rti_629,nonmaize_annual,crop,23.0,-999,legumes,0,0.14521002769470215,3148.20751953125,-999,-999,0.0,2.0,2.0,-999,8576,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000002318,rti_1173,nonmaize_annual,crop,31.0,-999,legumes,0,0.281642884016037,2244.086669921875,-999,-999,0.0,2.0,2.0,-999,8984,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000024e6,rti_264,nonmaize_annual,crop,53.0,-999,legumes,0,0.16101215779781342,3776.61865234375,-999,-999,0.0,2.0,2.0,-999,9446,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_0000000000000000261c,rti_413,nonmaize_annual,crop,23.0,-999,legumes,0,0.23274222016334534,3256.0498046875,-999,-999,0.0,2.0,2.0,-999,9756,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000002791,rti_91,nonmaize_annual,crop,42.0,-999,legumes,0,0.3336108922958374,4537.89697265625,-999,-999,0.0,2.0,2.0,-999,10129,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000027af,rti_1088,nonmaize_annual,crop,28.0,-999,legumes,0,0.18405385315418243,2927.109375,-999,-999,0.0,2.0,2.0,-999,10159,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000002a67,rti_668,nonmaize_annual,crop,53.0,-999,legumes,0,0.8081302642822266,4456.9052734375,2819.765380859375,4456.9052734375,0.0,1.0,1.0,-999,10855,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000002be4,rti_426,nonmaize_annual,crop,23.0,-999,legumes,0,0.27374008297920227,3591.685546875,-999,-999,0.0,2.0,2.0,-999,11236,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000002cc6,rti_619,nonmaize_annual,crop,28.0,-999,legumes,0,0.10172253102064133,2448.90625,-999,-999,0.0,2.0,2.0,-999,11462,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000002d1e,rti_1430,nonmaize_annual,crop,23.0,-999,legumes,0,0.182821586728096,4284.7900390625,-999,-999,0.0,2.0,2.0,-999,11550,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000002f27,rti_12,nonmaize_annual,crop,42.0,-999,legumes,0,0.16119079291820526,4692.75,-999,-999,0.0,5.0,5.0,-999,12071,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000003238,rti_512,nonmaize_annual,crop,23.0,-999,legumes,0,0.11536409705877304,3581.69580078125,-999,-999,0.0,2.0,2.0,-999,12856,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000003503,rti_422,nonmaize_annual,crop,23.0,-999,legumes,0,0.217970073223114,3404.1826171875,-999,-999,0.0,2.0,2.0,-999,13571,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000035b1,rti_265,nonmaize_annual,crop,53.0,-999,legumes,0,0.38285478949546814,3785.20556640625,-999,-999,0.0,2.0,2.0,-999,13745,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000036ea,rti_633,nonmaize_annual,crop,53.0,-999,legumes,0,0.8045098185539246,4509.44140625,2853.003662109375,4509.44140625,0.0,1.0,1.0,-999,14058,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000003807,rti_115,nonmaize_annual,crop,42.0,-999,legumes,0,0.03239661827683449,3139.06884765625,-999,-999,0.0,5.0,5.0,-999,14343,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000038f0,rti_575,nonmaize_annual,crop,28.0,-999,legumes,0,0.13460826873779297,2446.544921875,-999,-999,0.0,2.0,2.0,-999,14576,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000003c95,rti_69,nonmaize_annual,crop,42.0,-999,legumes,0,0.08708392083644867,3872.3310546875,-999,-999,0.0,3.0,3.0,-999,15509,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000003fd4,rti_1534,nonmaize_annual,crop,28.0,-999,legumes,0,0.1659369319677353,2881.29638671875,-999,-999,0.0,2.0,2.0,-999,16340,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000040f2,rti_9,nonmaize_annual,crop,42.0,-999,legumes,0,0.31660547852516174,4267.02880859375,-999,-999,0.0,2.0,2.0,-999,16626,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000004297,rti_402,nonmaize_annual,crop,23.0,-999,legumes,0,0.2529071867465973,3862.3408203125,-999,-999,0.0,2.0,2.0,-999,17047,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000043a2,rti_1733,nonmaize_annual,crop,53.0,-999,legumes,0,0.5990114212036133,3407.830078125,2156.04345703125,3407.830078125,0.0,1.0,1.0,-999,17314,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000044c1,rti_209,nonmaize_annual,crop,23.0,-999,legumes,0,0.23721329867839813,3568.470703125,-999,-999,0.0,2.0,2.0,-999,17601,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_0000000000000000451e,rti_516,nonmaize_annual,crop,23.0,-999,legumes,0,0.20147354900836945,3349.6181640625,-999,-999,0.0,4.0,4.0,-999,17694,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000004536,rti_557,nonmaize_annual,crop,43.0,-999,legumes,0,0.11791868507862091,4974.87744140625,-999,-999,0.0,2.0,2.0,-999,17718,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000004836,rti_552,nonmaize_annual,crop,43.0,-999,legumes,0,0.23482336103916168,6106.7421875,-999,-999,0.0,2.0,2.0,-999,18486,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000004d9d,rti_564,nonmaize_annual,crop,28.0,-999,legumes,0,0.10153379291296005,2656.71630859375,-999,-999,0.0,2.0,2.0,-999,19869,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000004de5,rti_1244,nonmaize_annual,crop,28.0,-999,legumes,0,0.13753923773765564,3101.35986328125,-999,-999,0.0,2.0,2.0,-999,19941,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000004e74,rti_1552,nonmaize_annual,crop,53.0,-999,legumes,0,0.46329089999198914,3687.20263671875,2332.795166015625,3687.20263671875,0.0,1.0,1.0,-999,20084,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000005221,rti_1920,nonmaize_annual,crop,53.0,-999,legumes,0,0.5084439516067505,4172.5478515625,2639.860107421875,4172.5478515625,0.0,1.0,1.0,-999,21025,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000053a6,rti_1484,nonmaize_annual,crop,23.0,-999,legumes,0,0.07161553204059601,3186.0224609375,-999,-999,0.0,2.0,2.0,-999,21414,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_0000000000000000552a,rti_301,nonmaize_annual,crop,31.0,-999,legumes,0,0.20165735483169556,2388.8603515625,-999,-999,0.0,2.0,2.0,-999,21802,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000005540,rti_428,nonmaize_annual,crop,23.0,-999,legumes,0,0.23674316704273224,3595.88134765625,-999,-999,0.0,2.0,2.0,-999,21824,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000057c0,rti_1850,nonmaize_annual,crop,53.0,-999,legumes,0,0.25051307678222656,3185.7060546875,-999,-999,0.0,8.0,8.0,-999,22464,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000057d4,rti_1168,nonmaize_annual,crop,31.0,-999,legumes,0,0.21957606077194214,2456.43310546875,-999,-999,0.0,2.0,2.0,-999,22484,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_0000000000000000581e,rti_608,nonmaize_annual,crop,53.0,-999,legumes,0,0.30534547567367554,3555.0712890625,-999,-999,0.0,2.0,2.0,-999,22558,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000005990,rti_570,nonmaize_annual,crop,28.0,-999,legumes,0,0.12549817562103271,2978.689453125,-999,-999,0.0,2.0,2.0,-999,22928,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000005d41,rti_384,nonmaize_annual,crop,23.0,-999,legumes,0,0.19351418316364288,3586.787109375,-999,-999,0.0,2.0,2.0,-999,23873,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000005d87,rti_522,nonmaize_annual,crop,23.0,-999,legumes,0,0.17819413542747498,3069.30712890625,-999,-999,0.0,2.0,2.0,-999,23943,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000005f13,rti_662,nonmaize_annual,crop,43.0,-999,legumes,0,0.0956726148724556,5681.0048828125,-999,-999,0.0,2.0,2.0,-999,24339,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000005f9c,rti_136,nonmaize_annual,crop,53.0,-999,legumes,0,0.23268474638462067,3206.06591796875,-999,-999,0.0,8.0,8.0,-999,24476,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000062b0,rti_235,nonmaize_annual,crop,53.0,-999,legumes,0,0.2966502606868744,3359.73681640625,-999,-999,0.0,2.0,2.0,-999,25264,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000063f7,rti_436,nonmaize_annual,crop,23.0,-999,legumes,0,0.28018125891685486,3229.5947265625,-999,-999,0.0,8.0,8.0,-999,25591,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000067f1,rti_1820,nonmaize_annual,crop,53.0,-999,legumes,0,0.2966502606868744,3359.73681640625,-999,-999,0.0,2.0,2.0,-999,26609,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000068c1,rti_19,nonmaize_annual,crop,42.0,-999,legumes,0,0.4843202829360962,3624.41943359375,1025.32275390625,3624.41943359375,0.0,1.0,1.0,-999,26817,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000068ea,rti_587,nonmaize_annual,crop,28.0,-999,legumes,0,0.2711545526981354,3366.77880859375,-999,-999,0.0,2.0,2.0,-999,26858,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000006914,rti_581,nonmaize_annual,crop,43.0,-999,legumes,0,0.6337701082229614,5278.26220703125,1441.2725830078125,5278.26220703125,0.0,1.0,1.0,-999,26900,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000069eb,rti_57,nonmaize_annual,crop,53.0,-999,legumes,0,0.3401261270046234,3415.560546875,-999,-999,0.0,2.0,2.0,-999,27115,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000006a03,rti_272,nonmaize_annual,crop,53.0,-999,legumes,0,0.7181018590927124,3698.1005859375,2339.68994140625,3698.1005859375,0.0,1.0,1.0,-999,27139,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000006bab,rti_34,nonmaize_annual,crop,28.0,-999,legumes,0,0.23117735981941223,2904.8271484375,-999,-999,0.0,2.0,2.0,-999,27563,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000006d53,rti_550,nonmaize_annual,crop,43.0,-999,legumes,0,0.1995389759540558,5760.75244140625,-999,-999,0.0,2.0,2.0,-999,27987,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000006e3d,rti_283,nonmaize_annual,crop,53.0,-999,legumes,0,0.38497206568717957,3060.275390625,-999,-999,0.0,2.0,2.0,-999,28221,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000006e49,rti_6,nonmaize_annual,crop,42.0,-999,legumes,0,0.057336434721946716,4362.8271484375,-999,-999,0.0,5.0,5.0,-999,28233,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000007085,rti_86,nonmaize_annual,crop,42.0,-999,legumes,0,0.17332527041435242,4022.05908203125,-999,-999,0.0,2.0,2.0,-999,28805,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000007350,rti_116,nonmaize_annual,crop,42.0,-999,legumes,0,0.29812607169151306,3256.86572265625,-999,-999,0.0,2.0,2.0,-999,29520,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000073d1,rti_1449,nonmaize_annual,crop,23.0,-999,legumes,0,0.33328917622566223,3270.794921875,-999,-999,0.0,2.0,2.0,-999,29649,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000073fc,rti_1699,nonmaize_annual,crop,53.0,-999,legumes,0,0.9099129438400269,4602.02294921875,2911.57763671875,4602.02294921875,0.0,1.0,1.0,-999,29692,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000007470,rti_594,nonmaize_annual,crop,28.0,-999,legumes,0,0.175556942820549,2845.21142578125,-999,-999,0.0,2.0,2.0,-999,29808,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000074fc,rti_394,nonmaize_annual,crop,23.0,-999,legumes,0,0.1563488245010376,3669.7041015625,-999,-999,0.0,2.0,2.0,-999,29948,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
